item,item code
GASTOS,2
FUNCIONAMIENTO,2.1
GASTOS DE PERSONAL,2.1.1
PLANTA DE PERSONAL PERMANENTE,2.1.1.01
FACTORES CONSTITUTIVOS DE SALARIO,2.1.1.01.01
FACTORES SALARIALES COMUNES,2.1.1.01.01.001
SUELDO BASICO,2.1.1.01.01.001.01
"HORAS EXTRAS, DOMINICALES, FESTIVOS Y RECARGOS",2.1.1.01.01.001.02
GASTOS DE REPRESENTACION,2.1.1.01.01.001.03
SUBSIDIO DE ALIMENTACION,2.1.1.01.01.001.04
AUXILIO DE TRANSPORTE,2.1.1.01.01.001.05
PRIMA DE SERVICIO,2.1.1.01.01.001.06
BONIFICACION POR SERVICIOS PRESTADOS,2.1.1.01.01.001.07
PRESTACIONES SOCIALES,2.1.1.01.01.001.08
PRIMA DE NAVIDAD,2.1.1.01.01.001.08.01
PRIMA DE VACACIONES,2.1.1.01.01.001.08.02
PRIMA DE NAVIDAD DE DIPUTADOS,2.1.1.01.01.001.08.03
PRIMA DE VACACIONES DE DIPUTADOS,2.1.1.01.01.001.08.04
PRIMA TECNICA SALARIAL,2.1.1.01.01.001.09
VIATICOS DE LOS FUNCIONARIOS EN COMISION,2.1.1.01.01.001.10
REMUNERACION DIPUTADOS,2.1.1.01.01.001.11
SALARIO INTEGRAL,2.1.1.01.01.001.14
FACTORES SALARIALES ESPECIALES,2.1.1.01.01.002
PRIMA SEMESTRAL,2.1.1.01.01.002.04
PRIMAS EXTRAORDINARIAS,2.1.1.01.01.002.06
PRIMA MENSUAL,2.1.1.01.01.002.07
PRIMA DE ANTIGÃœEDAD,2.1.1.01.01.002.12
BENEFICIOS A LOS EMPLEADOS A CORTO PLAZO,2.1.1.01.01.002.12.01
BENEFICIOS A LOS EMPLEADOS A LARGO PLAZO,2.1.1.01.01.002.12.02
PRIMA DE CLIMA O DE CALOR,2.1.1.01.01.002.34
PRIMA MOVIL,2.1.1.01.01.002.35
PRIMA DE VIDA CARA,2.1.1.01.01.002.36
CONTRIBUCIONES INHERENTES A LA NOMINA,2.1.1.01.02
APORTES A LA SEGURIDAD SOCIAL EN PENSIONES,2.1.1.01.02.001
APORTES A LA SEGURIDAD SOCIAL EN SALUD,2.1.1.01.02.002
APORTES DE CESANTIAS,2.1.1.01.02.003
APORTES A CAJAS DE COMPENSACION FAMILIAR,2.1.1.01.02.004
APORTES GENERALES AL SISTEMA DE RIESGOS LABORALES,2.1.1.01.02.005
APORTES AL ICBF,2.1.1.01.02.006
APORTES AL SENA,2.1.1.01.02.007
APORTES A LA ESAP,2.1.1.01.02.008
APORTES A ESCUELAS INDUSTRIALES E INSTITUTOS TECNICOS,2.1.1.01.02.009
CONTRIBUCIONES INHERENTES A LA NOMINA DE DIPUTADOS O CONCEJALES,2.1.1.01.02.020
APORTES A LA SEGURIDAD SOCIAL EN PENSIONES,2.1.1.01.02.020.01
