observatorio name,item code,item
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2,RECURSOS DE CAPITAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01,DISPOSICION DE ACTIVOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.01,DISPOSICION DE ACTIVOS FINANCIEROS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.01.001,ACCIONES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.01.002,REDUCCIONES DE CAPITAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02,DISPOSICION DE ACTIVOS NO FINANCIEROS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.001,DISPOSICION DE ACTIVOS FIJOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.001.01,DISPOSICION DE EDIFICACIONES Y ESTRUCTURAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.001.02,DISPOSICION DE MAQUINARIA Y EQUIPO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.002,DISPOSICION DE OBJETOS DE VALOR
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.002.02,DISPOSICION DE ANTIGÃœEDADES U OTROS OBJETOS DE ARTE
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.003,DISPOSICION DE ACTIVOS NO PRODUCIDOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.003.01,DISPOSICION DETIERRAS Y TERRENOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.01.02.003.02,DISPOSICION DE RECURSOS BIOLOGICOS NO CULTIVADOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.02,EXCEDENTES FINANCIEROS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.02.01,ESTABLECIMIENTOS PUBLICOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.02.02,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO NO SOCIETARIAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.03,DIVIDENDOS Y UTILIDADES POR OTRAS INVERSIONES DE CAPITAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.03.02,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO SOCIETARIAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.03.03,SOCIEDADES DE ECONOMIA MIXTA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.03.04,INVERSIONES PATRIMONIALES NO CONTROLADAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.03.06,INVERSIONES EN ENTIDADES CONTROLADAS - SOCIEDADES PUBLICAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.05,RENDIMIENTOS FINANCIEROS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.05.01,TITULOS PARTICIPATIVOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.05.02,DEPOSITOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.05.03,VALORES DISTINTOS DE ACCIONES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.05.04,CUENTA UNICA NACIONAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.05.05,INTERESES POR PRESTAMOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06,RECURSOS DE CREDITO EXTERNO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01,RECURSOS DE CONTRATOS DE EMPRESTITOS EXTERNOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.001,BANCOS COMERCIALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.002,ENTIDADES DE FOMENTO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.003,GOBIERNOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.003.01,BANCOS CENTRALES Y AGENCIAS DE GOBIERNOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.003.02,GOBIERNOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.005,OTRAS INSTITUCIONES FINANCIERAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.06.01.005.03,RECURSOS DE CREDITO EXTERNO DE OTRAS INSTITUCIONES FINANCIERAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07,RECURSOS DE CREDITO INTERNO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07.01,RECURSOS DE CONTRATOS DE EMPRESTITOS INTERNOS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07.01.001,BANCA COMERCIAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07.01.002,NACION
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07.01.003,BANCA DE FOMENTO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07.01.004,INSTITUTOS DE DESARROLLO DEPARTAMENTAL Y DEL O MUNICIPAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.07.01.006,OTRAS INSTITUCIONES FINANCIERAS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08,TRANSFERENCIAS DE CAPITAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01,DONACIONES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.001,DE GOBIERNOS EXTRANJEROS
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.001.01,NO CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.001.02,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.002,DE ORGANIZACIONES INTERNACIONALES
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.002.01,NO CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.002.02,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.003,DEL SECTOR PRIVADO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.003.01,NO CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.01.003.02,CONDICIONADAS A LA ADQUISICION DE UN ACTIVO
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.02,INDEMNIZACIONES RELACIONADAS CON SEGUROS NO DE VIDA
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.03,COMPENSACIONES DE CAPITAL
Dinero sobrante de años anteriores y otros ingresos financieros*,1.2.08.03.001,RESARCIMIENTO POR PROCESOS DE GESTION FISCAL
