year,month,deflator
2009,1,70.73
2009,2,71.39
2009,3,71.85
2009,4,72.03
2009,5,72.05
2009,6,72.17
2009,7,72.28
2009,8,72.36
2009,9,72.39
2009,10,72.37
2009,11,72.44
2009,12,72.51
2010,1,72.95
2010,2,73.49
2010,3,73.60
2010,4,73.76
2010,5,73.86
2010,6,73.99
2010,7,74.06
2010,8,74.18
2010,9,74.20
2010,10,74.23
2010,11,74.37
2010,12,74.56
2011,1,75.04
2011,2,75.47
2011,3,75.73
2011,4,75.87
2011,5,75.94
2011,6,76.14
2011,7,76.20
2011,8,76.23
2011,9,76.41
2011,10,76.48
2011,11,76.61
2011,12,76.90
2012,1,77.29
2012,2,77.81
2012,3,77.96
2012,4,77.99
2012,5,78.17
2012,6,78.28
2012,7,78.28
2012,8,78.32
2012,9,78.60
2012,10,78.67
2012,11,78.67
2012,12,78.74
2013,1,78.92
2013,2,79.43
2013,3,79.61
2013,4,79.71
2013,5,79.95
2013,6,80.22
2013,7,80.20
2013,8,80.25
2013,9,80.46
2013,10,80.48
2013,11,80.41
2013,12,80.60
2014,1,80.89
2014,2,81.44
2014,3,81.69
2014,4,81.99
2014,5,82.17
2014,6,82.35
2014,7,82.41
2014,8,82.53
2014,9,82.63
2014,10,82.83
2014,11,82.96
2014,12,83.23
2015,1,83.48
2015,2,84.22
2015,3,84.52
2015,4,84.81
2015,5,85.22
2015,6,85.41
2015,7,85.69
2015,8,86.00
2015,9,86.41
2015,10,86.76
2015,11,87.15
2015,12,87.53
2016,1,88.11
2016,2,89.18
2016,3,89.76
2016,4,89.91
2016,5,90.39
2016,6,90.81
2016,7,91.05
2016,8,91.24
2016,9,91.53
2016,10,91.66
2016,11,91.78
2016,12,92.02
2017,1,92.74
2017,2,93.79
2017,3,94.36
2017,4,94.95
2017,5,95.22
2017,6,95.46
2017,7,95.41
2017,8,95.63
2017,9,95.85
2017,10,95.97
2017,11,96.19
2017,12,96.63
2018,1,97.01
2018,2,97.91
2018,3,98.19
2018,4,98.56
2018,5,98.89
2018,6,99.10
2018,7,99.15
2018,8,99.30
2018,9,99.41
2018,10,99.60
2018,11,99.75
2018,12,100.00
2019,1,100.46
2019,2,101.10
2019,3,101.44
2019,4,101.84
2019,5,102.10
2019,6,102.27
2019,7,102.41
2019,8,102.54
2019,9,102.73
2019,10,102.87
2019,11,103.09
2019,12,103.45
2020,1,103.82
2020,2,104.47
2020,3,104.75
2020,4,104.55
2020,5,104.14
2020,6,103.70
2020,7,103.86
2020,8,103.94
2020,9,104.34
2020,10,104.33
2020,11,104.13
2020,12,104.52
2021,1,104.74
2021,2,105.45
2021,3,105.86
2021,4,106.18
2021,5,106.34
2021,6,106.50
2021,7,106.83
2021,8,107.17
2021,9,107.50
2021,10,107.32
2021,11,107.64
2021,12,108.12
2022,1,109.43
2022,2,110.83
2022,3,111.47
2022,4,112.48
2022,5,113.25
2022,6,113.78
2022,7,114.61
2022,8,115.56
2022,9,116.45
2022,10,117.14
2022,11,117.84
2022,12,118.92
2023,1,120.84
2023,2,122.86
2023,3,124.20
