cod_dane,nombre_mun,departamento,periodo 2019-2020,dummy_recibe asignacion directa 2019-2020,periodo 2017-2018,dummy_recibe asignacion directa 2017-2018,periodo 2016-2015,dummy_recibe asignacion directa 2016-2015,periodo 2013-2014,dummy_recibe asignacion directa 2013-2014
5001,Medellín,Antioquia,1360821359.4302,1,1315836035.2837,1,1384565937.3232,1,2121812494.0743,1
5002,Abejorral,Antioquia,2492625403.4023,1,2406207517.7983,1,1469673866.8021,1,1946126364.0103,1
5004,Abriaquí,Antioquia,632920963.6503,0,623008386.5815,1,413262107.1863,1,566434694.1554,1
5021,Alejandría,Antioquia,915788156.108,0,882369510.9071,0,569860468.7729,0,773967520.7896,1
5030,Amagá,Antioquia,3029689593.6735,1,2904061388.9934,1,1879865885.4665,1,2277201174.9463,1
5031,Amalfi,Antioquia,3565817657.1688,1,3587080433.9524,1,2308143598.9439,1,2834263926.2582,1
5034,Andes,Antioquia,4033361582.8102,1,3857106679.2687,1,2453986996.3579,1,2967678277.7807,1
5036,Angelópolis,Antioquia,1505489830.4371,1,1409938940.9846,1,865266916.1465,1,1122039370.9634,1
5038,Angostura,Antioquia,1693033453.0585,0,1680509704.9483,0,1259545886.1433,0,1708351798.8731,1
5040,Anorí,Antioquia,2953562541.5472,1,2666883159.7065,1,2134741123.3146,1,2484306855.2657,1
5042,Santafé de Antioquia,Antioquia,3508193570.1288,1,3388785853.159,0,2067889031.5433,1,2778883048.1916,1
5044,Anza,Antioquia,1227298519.8872,0,1197751033.3509,0,890379948.6601,0,1102461785.7367,1
5045,Apartadó,Antioquia,1099172388.9907,1,1904914535.6747,1,3976798984.5623,1,1099000603.4671,1
5051,Arboletes,Antioquia,6164009005.751,0,5758244176.9911,0,3379613897.3186,0,4270737733.0527,0
5055,Argelia,Antioquia,1255540460.3817,0,1259853972.6774,0,848461438.8379,0,1167513616.7784,1
5059,Armenia,Antioquia,666419198.5291,0,674439727.3532,0,487826525.2393,0,688748566.4009,0
5079,Barbosa,Antioquia,3592041321.7167,1,2982886309.5472,1,490597944.8567,1,645631834.0439,1
5086,Belmira,Antioquia,1319733178.4756,0,1243219481.8784,0,774046444.928,1,1019224201.4603,1
