cod_dane,departamento,periodo 2019-2020,PERIODO 2018-2017,periodo 2015-2016,periodo 2014-2013
05000,Antioquia                                         ,379620270378.063,554214517718.292,521540336995.379,645578512810.732
08000,Atlántico                                         ,191701940725.291,306371955793.899,264901062601.174,317002576261.389
13000,Bolívar                                           ,390237978887.533,540509756909.612,484816645437.993,583562354304.411
15000,Boyacá                                            ,240080933053.199,368522447748.374,351079211741.445,444784686928.508
17000,Caldas                                            ,105265653554.849,165425154153.695,147515065959.348,178807632614.495
18000,Caquetá                                           ,149742115804.505,240284841537.774,205097849741.294,247885397371.655
19000,Cauca                                             ,274672403045.695,434613271448.181,381995820702.729,461858022918.744
20000,Cesar                                             ,402318639160.384,571417414210.28,509924247680.321,628721306612.059
23000,Córdoba                                           ,377367824155.656,575207383865.312,516558541193.693,632565042449.212
25000,Cundinamarca                                      ,210875577906.731,319672829547.693,292161761103.349,348656696295.441
27000,Chocó                                             ,211026838721.117,338467583228.486,295633486936.07,360182483677.169
41000,Huila                                             ,240731209720.676,387908572227.089,370818938356.354,483130450973.61
44000,La Guajira                                        ,318765179388.732,557864733371.665,515640732640.801,652200082664.009
47000,Magdalena                                         ,286313837645.739,415278157807.52,362070751293.888,439698189683.203
50000,Meta                                              ,411918343485.747,685606004855.624,787434729094.138,1369528173787.73
52000,Nariño                                            ,306779328053.175,482731446274.528,426927413263.109,513857752199.91
54000,Norte De Santander                                ,224341140671.135,354527960330.414,313035230733.625,371619037111.166
63000,Quindío                                           ,71220619403.5788,118007932160.676,96027990695.4668,117011859840.074
66000,Risaralda                                         ,97409690379.2705,157405441612.253,136206607911.534,165080736295.687
68000,Santander                                         ,219996188807.698,351079694145.187,340944009670.326,464130362036.007
70000,Sucre                                             ,250624855273.07,376685354365.654,338149068524.819,421900199230.498
73000,Tolima                                            ,171627909447.56,273423872472.274,262025803556.277,341778884574.881
76000,Valle Del Cauca                                   ,227710797460.984,360683163931.489,317245848185.717,378092788028.253
81000,Arauca                                            ,138236641538.996,223862899675.493,222528836750.856,340253328253.088
85000,Casanare                                          ,289908423599.898,446208706275.026,430410923746.849,762296630517.685
86000,Putumayo                                          ,139525555002.714,221577398528.697,205652402475.2,274558748579.639
88000,Archipiélago de San Andrés                        ,64253688293.44,98883127338.129,83684432275.4607,100370457827.624
91000,Amazonas                                          ,62928137405.6148,102308350750.38,86772518261.6204,105001725312.214
94000,Guainía                                           ,56144860203.729,89159129215.9411,74971151319.5957,91582935309.1683
95000,Guaviare                                          ,75527410199.93,121285993172.864,103093764904.822,120866032298.19
97000,Vaupés                                            ,53992328806.1668,87035985597.2876,73814595671.4454,90195172770.177
99000,Vichada                                           ,80031513467.958,126478084206.931,106783319887.908,124999289069.443
