short,long
Antioquia,ANTIOQUIA
Atlántico,ATLÁNTICO
"Bogotá, D.C.","BOGOTÁ, D.C."
Bolívar,BOLÍVAR
Boyacá,BOYACÁ
Caldas,CALDAS
Caquetá,CAQUETÁ
Cauca,CAUCA
Cesar,CESAR
Córdoba,CÓRDOBA
Cundinamarca,CUNDINAMARCA
Chocó,CHOCÓ
Huila,HUILA
La Guajira,LA GUAJIRA
Magdalena,MAGDALENA
Meta,META
Nariño,NARIÑO
Norte de Santander,NORTE DE SANTANDER
Quindio,QUINDIO
Risaralda,RISARALDA
Santander,SANTANDER
Sucre,SUCRE
Tolima,TOLIMA
Valle del Cauca,VALLE DEL CAUCA
Arauca,ARAUCA
Casanare,CASANARE
Putumayo,PUTUMAYO
"San Andrés","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA"
Amazonas,AMAZONAS
Guainía,GUAINÍA
Guaviare,GUAVIARE
Vaupés,VAUPÉS
Vichada,VICHADA
