short,long
Medellín,MEDELLÍN
Abejorral,ABEJORRAL
Abriaquí,ABRIAQUÍ
Alejandría,ALEJANDRÍA
Amagá,AMAGÁ
Amalfi,AMALFI
Andes,ANDES
Angelópolis,ANGELÓPOLIS
Angostura,ANGOSTURA
Anorí,ANORÍ
Santafé de Antioquia,SANTAFÉ DE ANTIOQUIA
Anza,ANZA
Apartadó,APARTADÓ
Arboletes,ARBOLETES
Argelia,ARGELIA
Armenia,ARMENIA
Barbosa,BARBOSA
Belmira,BELMIRA
Bello,BELLO
Betania,BETANIA
Betulia,BETULIA
Ciudad Bolívar,CIUDAD BOLÍVAR
Briceño,BRICEÑO
Buriticá,BURITICÁ
Cáceres,CÁCERES
Caicedo,CAICEDO
Caldas,CALDAS
Campamento,CAMPAMENTO
Cañasgordas,CAÑASGORDAS
Caracolí,CARACOLÍ
Caramanta,CARAMANTA
Carepa,CAREPA
El Carmen de Viboral,EL CARMEN DE VIBORAL
Carolina,CAROLINA
Caucasia,CAUCASIA
Chigorodó,CHIGORODÓ
Cisneros,CISNEROS
Cocorná,COCORNÁ
Concepción,CONCEPCIÓN
Concordia,CONCORDIA
Copacabana,COPACABANA
Dabeiba,DABEIBA
Donmatías,DONMATÍAS
Ebéjico,EBÉJICO
El Bagre,EL BAGRE
Entrerrios,ENTRERRIOS
Envigado,ENVIGADO
Fredonia,FREDONIA
Frontino,FRONTINO
Giraldo,GIRALDO
Girardota,GIRARDOTA
Gómez Plata,GÓMEZ PLATA
Granada,GRANADA
Guadalupe,GUADALUPE
Guarne,GUARNE
Guatape,GUATAPE
Heliconia,HELICONIA
Hispania,HISPANIA
Itagui,ITAGUI
Ituango,ITUANGO
Jardín,JARDÍN
Jericó,JERICÓ
La Ceja,LA CEJA
La Estrella,LA ESTRELLA
La Pintada,LA PINTADA
La Unión,LA UNIÓN
Liborina,LIBORINA
Maceo,MACEO
Marinilla,MARINILLA
Montebello,MONTEBELLO
Murindó,MURINDÓ
Mutatá,MUTATÁ
Nariño,NARIÑO
Necoclí,NECOCLÍ
